time,lon,lat,pm2p5
2021-01-13 18:00:00,18.950000000000006,47.25,13.824219
2021-01-13 19:00:00,18.950000000000006,47.25,12.84375
2021-01-13 20:00:00,18.950000000000006,47.25,12.7109375
2021-01-13 21:00:00,18.950000000000006,47.25,12.5234375
2021-01-13 22:00:00,18.950000000000006,47.25,11.253906
2021-01-13 23:00:00,18.950000000000006,47.25,11.816406
2021-01-14 00:00:00,18.950000000000006,47.25,12.140625
2021-01-14 01:00:00,18.950000000000006,47.25,12.953125
2021-01-14 02:00:00,18.950000000000006,47.25,13.765625
2021-01-14 03:00:00,18.950000000000006,47.25,17.539062
2021-01-14 04:00:00,18.950000000000006,47.25,21.265625
2021-01-14 05:00:00,18.950000000000006,47.25,19.46875
2021-01-14 06:00:00,18.950000000000006,47.25,16.101562
2021-01-14 07:00:00,18.950000000000006,47.25,13.3828125
2021-01-14 08:00:00,18.950000000000006,47.25,7.7929688
2021-01-14 09:00:00,18.950000000000006,47.25,7.0507812
2021-01-14 10:00:00,18.950000000000006,47.25,5.033203
2021-01-14 11:00:00,18.950000000000006,47.25,5.1054688
2021-01-14 12:00:00,18.950000000000006,47.25,4.6445312
2021-01-14 13:00:00,18.950000000000006,47.25,5.2539062
2021-01-14 14:00:00,18.950000000000006,47.25,5.185547
2021-01-14 15:00:00,18.950000000000006,47.25,5.5234375
2021-01-14 16:00:00,18.950000000000006,47.25,7.28125
2021-01-14 17:00:00,18.950000000000006,47.25,7.7070312
2021-01-14 18:00:00,18.950000000000006,47.25,8.949219
2021-01-14 19:00:00,18.950000000000006,47.25,11.234375
2021-01-14 20:00:00,18.950000000000006,47.25,11.1015625
2021-01-14 21:00:00,18.950000000000006,47.25,12.4375
2021-01-14 22:00:00,18.950000000000006,47.25,13.3125
2021-01-14 23:00:00,18.950000000000006,47.25,13.5390625
2021-01-15 00:00:00,18.950000000000006,47.25,14.566406
2021-01-15 01:00:00,18.950000000000006,47.25,13.8203125
2021-01-15 02:00:00,18.950000000000006,47.25,14.214844
2021-01-15 03:00:00,18.950000000000006,47.25,12.847656
2021-01-15 04:00:00,18.950000000000006,47.25,13.214844
2021-01-15 05:00:00,18.950000000000006,47.25,12.980469
2021-01-15 06:00:00,18.950000000000006,47.25,13.230469
2021-01-15 07:00:00,18.950000000000006,47.25,14.917969
2021-01-15 08:00:00,18.950000000000006,47.25,15.78125
2021-01-15 09:00:00,18.950000000000006,47.25,15.4453125
2021-01-15 10:00:00,18.950000000000006,47.25,14.5859375
2021-01-15 11:00:00,18.950000000000006,47.25,12.113281
2021-01-15 12:00:00,18.950000000000006,47.25,12.3984375
2021-01-15 13:00:00,18.950000000000006,47.25,12.488281
2021-01-15 14:00:00,18.950000000000006,47.25,11.113281
2021-01-15 15:00:00,18.950000000000006,47.25,11.40625
2021-01-15 16:00:00,18.950000000000006,47.25,13.175781
2021-01-15 17:00:00,18.950000000000006,47.25,16.382812
2021-01-15 18:00:00,18.950000000000006,47.25,20.484375
2021-01-15 19:00:00,18.950000000000006,47.25,21.273438
2021-01-15 20:00:00,18.950000000000006,47.25,20.757812
2021-01-15 21:00:00,18.950000000000006,47.25,21.367188
2021-01-15 22:00:00,18.950000000000006,47.25,21.453125
2021-01-15 23:00:00,18.950000000000006,47.25,20.84375
2021-01-16 00:00:00,18.950000000000006,47.25,20.648438
2021-01-16 01:00:00,18.950000000000006,47.25,20.023438
2021-01-16 02:00:00,18.950000000000006,47.25,19.421875
2021-01-16 03:00:00,18.950000000000006,47.25,14.363281
2021-01-16 04:00:00,18.950000000000006,47.25,16.859375
2021-01-16 05:00:00,18.950000000000006,47.25,16.773438
2021-01-16 06:00:00,18.950000000000006,47.25,14.917969
2021-01-16 07:00:00,18.950000000000006,47.25,14.464844
2021-01-16 08:00:00,18.950000000000006,47.25,14.984375
2021-01-16 09:00:00,18.950000000000006,47.25,14.339844
2021-01-16 10:00:00,18.950000000000006,47.25,12.703125
2021-01-16 11:00:00,18.950000000000006,47.25,11.46875
2021-01-16 12:00:00,18.950000000000006,47.25,9.8984375
2021-01-16 13:00:00,18.950000000000006,47.25,9.113281
2021-01-16 14:00:00,18.950000000000006,47.25,9.5078125
2021-01-16 15:00:00,18.950000000000006,47.25,9.2265625
2021-01-16 16:00:00,18.950000000000006,47.25,9.375
2021-01-16 17:00:00,18.950000000000006,47.25,11.160156
2021-01-16 18:00:00,18.950000000000006,47.25,12.6328125
2021-01-16 19:00:00,18.950000000000006,47.25,13.09375
2021-01-16 20:00:00,18.950000000000006,47.25,13.808594
2021-01-16 21:00:00,18.950000000000006,47.25,13.472656
2021-01-16 22:00:00,18.950000000000006,47.25,12.746094
2021-01-16 23:00:00,18.950000000000006,47.25,11.855469
2021-01-17 00:00:00,18.950000000000006,47.25,11.578125
2021-01-17 01:00:00,18.950000000000006,47.25,11.640625
2021-01-17 02:00:00,18.950000000000006,47.25,11.160156
2021-01-17 03:00:00,18.950000000000006,47.25,11.5390625
2021-01-17 04:00:00,18.950000000000006,47.25,9.738281
2021-01-17 05:00:00,18.950000000000006,47.25,9.566406
2021-01-17 06:00:00,18.950000000000006,47.25,9.003906
2021-01-17 07:00:00,18.950000000000006,47.25,9.484375
2021-01-17 08:00:00,18.950000000000006,47.25,10.863281
2021-01-17 09:00:00,18.950000000000006,47.25,9.949219
2021-01-17 10:00:00,18.950000000000006,47.25,11.46875
2021-01-17 11:00:00,18.950000000000006,47.25,10.9765625
2021-01-17 12:00:00,18.950000000000006,47.25,11.253906
2021-01-17 13:00:00,18.950000000000006,47.25,10.5234375
2021-01-17 14:00:00,18.950000000000006,47.25,10.730469
2021-01-17 15:00:00,18.950000000000006,47.25,11.5078125
2021-01-17 16:00:00,18.950000000000006,47.25,17.867188
2021-01-17 17:00:00,18.950000000000006,47.25,20.640625
2021-01-17 18:00:00,18.950000000000006,47.25,23.90625
2021-01-17 19:00:00,18.950000000000006,47.25,26.59375
2021-01-17 20:00:00,18.950000000000006,47.25,30.265625
2021-01-17 21:00:00,18.950000000000006,47.25,32.421875
2021-01-17 22:00:00,18.950000000000006,47.25,31.945312
2021-01-17 23:00:00,18.950000000000006,47.25,30.554688
2021-01-18 00:00:00,18.950000000000006,47.25,30.195312
2021-01-18 01:00:00,18.950000000000006,47.25,30.335938
2021-01-18 02:00:00,18.950000000000006,47.25,27.234375
