time,tg,hu,rr,pp
1995-02-26,8.36,69.4,16.7,997.8
1995-02-27,5.5899997,77.8,2.9,1010.60004
1995-02-28,5.08,63.0,0.0,1027.6
1995-03-01,8.12,58.600002,0.0,1022.9
1995-03-02,6.1,78.700005,6.0,1014.60004
1995-03-03,6.0099998,89.8,4.6,1009.5
1995-03-04,7.81,88.6,2.1000001,1005.2
1995-03-05,6.0699997,83.8,0.90000004,1005.5
1995-03-06,5.7799997,77.200005,0.0,1004.10004
1995-03-07,6.1099997,73.4,0.0,1009.0
1995-03-08,6.6299996,58.100002,0.0,1013.5
1995-03-09,6.31,58.5,0.0,1015.60004
1995-03-10,7.35,61.100002,0.0,1021.60004
1995-03-11,6.6499996,58.0,0.0,1022.9
1995-03-12,6.18,63.600002,0.0,1024.9
1995-03-13,6.2599998,64.1,0.0,1025.7001
1995-03-14,2.31,69.3,0.7,1018.0
1995-03-15,0.39,80.1,0.0,1010.60004
1995-03-16,1.27,83.1,3.3,1011.2
1995-03-17,4.04,73.200005,0.0,1014.7
1995-03-18,7.6699996,66.5,0.8,1009.60004
1995-03-19,10.0199995,71.1,3.1000001,1007.7
1995-03-20,6.2599998,70.5,0.1,1007.8
1995-03-21,5.1099997,59.4,0.0,1016.3
1995-03-22,4.17,61.5,0.0,1027.6
1995-03-23,4.0,76.200005,0.0,1028.7001
1995-03-24,5.75,84.200005,0.0,1024.0
1995-03-25,9.29,70.3,0.0,1015.2
1995-03-26,7.75,63.600002,2.1000001,1014.10004
1995-03-27,10.55,72.0,2.3,999.60004
1995-03-28,3.51,50.600002,0.0,1003.10004
1995-03-29,2.37,56.2,0.0,1000.4
1995-03-30,3.9399998,60.5,0.0,1013.60004
1995-03-31,3.97,50.2,0.0,1024.0
1995-04-01,3.6299999,75.3,1.0,1021.2
1995-04-02,9.719999,74.700005,0.0,1018.3
1995-04-03,16.5,39.5,0.0,1014.2
1995-04-04,16.02,44.4,0.0,1011.9
1995-04-05,10.76,41.8,0.0,1022.9
1995-04-06,12.7,53.2,0.0,1018.9
1995-04-07,13.62,56.5,0.0,1014.0
1995-04-08,9.679999,55.100002,0.0,1006.7
1995-04-09,5.5899997,54.4,0.0,1011.60004
1995-04-10,5.0499997,59.9,0.0,1016.4
1995-04-11,3.9099998,65.6,0.90000004,1019.8
1995-04-12,5.0899997,57.8,0.0,1018.8
1995-04-13,5.0699997,60.4,2.5,1016.7
1995-04-14,3.49,79.700005,1.4,1022.2
1995-04-15,5.94,68.8,0.0,1022.4
1995-04-16,9.69,55.5,0.0,1010.7
1995-04-17,10.42,52.2,0.0,1005.10004
1995-04-18,12.07,53.8,0.0,1006.2
1995-04-19,15.639999,47.9,0.0,1007.2
1995-04-20,16.91,46.9,0.0,1011.2
1995-04-21,19.029999,46.600002,0.0,1016.9
1995-04-22,20.38,44.100002,0.0,1018.9
1995-04-23,21.27,42.7,0.0,1018.2
1995-04-24,18.71,51.9,3.9,1012.2
1995-04-25,15.21,67.700005,11.900001,1004.2
1995-04-26,11.63,88.0,18.800001,995.8
1995-04-27,11.95,84.1,2.2,997.4
1995-04-28,14.61,66.9,0.0,1008.8
1995-04-29,15.21,66.8,0.0,1017.10004
1995-04-30,16.449999,64.700005,0.0,1017.7
1995-05-01,15.589999,67.9,3.8,1018.7
1995-05-02,12.599999,60.600002,0.0,1023.4
1995-05-03,9.7699995,44.3,0.0,1029.0
1995-05-04,12.759999,50.4,0.0,1024.9
1995-05-05,15.42,51.8,0.0,1018.4
1995-05-06,16.68,51.5,3.8,1016.0
